date,cum_temp,biomass,solar,yield
105,1508.6550000000002,3403.2166115271802,0.7922920725891996,
106,1531.2050000000002,3466.472421383198,0.7879486672872235,
107,1553.4950000000001,3513.6937490274227,0.780532003792213,
108,1575.015,3553.888894565378,0.7714543537860163,
109,1594.9650000000001,3614.5561073008566,0.7610017628590798,
110,1615.4700000000003,3669.763101575281,0.7526515920166926,
111,1637.6000000000004,3732.503087127836,0.7417770560116872,
112,1658.2400000000005,3789.9972368284284,0.7133711731570491,
113,1679.1200000000006,3855.8618432755634,0.6958742106358772,
114,1700.9650000000006,3911.8282478444467,0.6737075806768594,
115,1724.0600000000006,3957.7699672962017,0.6365297317522448,
116,1747.7150000000006,4003.2579322343336,0.5739977901748626,
117,1772.0900000000006,4036.4547033656077,0.47936846138144207,
118,1797.0250000000005,4058.999784534755,0.35354518005957775,
